Source,Target
98902309,99472471
98902309,98902305
158344134,157929208
314825125,228482013
98652748,127283389
98652748,94284374
200508570,200508578
376121307,390982533
201616213,272698487
98652750,94284374
98652750,95011528
98652751,99118171
98652751,94284374
84198591,20254967
200508578,4710903
53212251,87756150
225333650,144336535
114748169,175095378
346378296,280526806
346378296,346396667
98652730,94302232
98652731,94302232
299094838,143030341
299094838,299131769
378076700,362683821
98652740,91971335
53212247,87750849
53212249,87761733
98902325,98974927
98902325,98902335
174776296,130887715
299055262,300936857
299055262,299055266
332263754,373151530
13273732,12683760
299055266,299055271
13248778,13248781
156021904,156026016
225333647,144336535
224250961,224714041
224250961,225068317
224250957,197201262
224250957,224250954
156021912,156022158
70791691,71465425
70791691,99943070
98902335,99134370
98902335,98974927
72323901,73098407
72323901,38222982
72323901,73109727
299055260,299055262
200508559,200508570
226441334,168016177
299055255,299055256
226441338,109150423
299055256,217970697
98652752,94284374
30078393,67628399
30078393,34577972
30078393,56784750
30078393,54906193
30078393,70439318
30078393,67611506
30078393,67648029
98652753,94284374
98652755,94284374
98652756,94284374
226441332,225016903
224250954,225011884
224250945,150858042
224250945,225349124
120970225,98776914
191199449,191199447
191199449,191428780
98902348,100087258
84776953,84997421
200508548,200628885
200508548,200508559
200508539,200628939
272316972,131617960
272316972,272479492
272316975,272463278
272316975,226917434
196094354,3509407
91961884,94578706
190077180,190450671
91961886,94583895
96938644,97025301
96938644,96938641
310510008,310509981
92070191,96384483
92070191,92697997
294210817,294210820
91961880,94269208
91961881,94302232
92070197,92481308
92070197,95613428
91961883,95408216
160252749,34492719
363522597,363655141
188652091,157929208
7774444,7777368
279967139,279967143
279967131,55613971
29643766,38917272
91961896,96003165
91961896,5003060
91961896,99257993
91961896,94940171
91961896,99262859
226416370,224209563
279150035,58080138
279150035,279150050
92070183,93251682
92070183,95613428
91961891,91886931
158344182,157929208
98652728,94302232
98652723,94296267
25303613,225959951
25303613,150348951
98652725,94296267
245263852,246385574
166230366,225288078
390600662,390600666
98627776,94699496
98627776,94731703
390600666,390607110
148845907,148845909
148845909,114462489
310510010,63646256
279150050,11306438
120695667,34180228
84776990,84776997
156153749,156153926
98902305,99171112
98902305,99933118
84776997,294482008
156153740,156153749
156153740,144222669
226416354,225970173
226416354,35494122
298800509,300144606
232047017,230451742
209047972,209047974
378497715,378578758
209047974,146340350
156153729,156153740
339111968,339748691
2772619,230414067
70766621,72000463
70766621,71471818
294317643,294317647
294317647,294317650
92084704,92084710
272316941,129764774
272316944,272316941
272316944,146452109
198743225,40184609
70766618,72656758
339111959,339654397
218148730,3623625
294317655,294317659
339111963,339111968
294317659,294317662
218148737,3623625
325904139,331518565
209047955,209047959
363076024,52746460
272316949,272680545
272316949,272760062
209047959,209725296
306161437,373108522
294317650,294317655
272316952,295953618
209047994,210616455
209047994,209048293
272316954,272316952
272316956,272431123
272316956,272682751
357734443,357734442
238196121,169625610
357734444,372868462
218148717,3623625
362992769,308019955
362992769,363146961
143383029,142148757
279967143,78143042
294317666,190005168
199997428,199997431
218148723,119656437
218148723,218573176
357734442,357734444
232361286,49960790
232361286,232470342
198743218,198743225
294317662,294317666
53779745,67626559
53779745,53780833
224739275,225859042
224739275,224964930
199997431,200575727
156128760,60038258
92084710,92734845
92084710,72648183
15383832,16057012
232361296,232361286
294317670,294317674
163709728,163824318
163709728,163709725
163709729,163886427
367402089,390144257
294317674,294317683
238196182,238315563
238196188,238360731
246096951,131826346
234698076,234855564
232072012,230575976
232072012,232072009
294317687,122324097
218148788,3623625
246096948,246096951
14199065,232675741
14199066,2834866
209047925,210672250
119800407,119798085
294317683,294317687
294317683,294317692
218148782,3623625
309932685,310075151
309932685,310082661
309932685,72981472
309932685,219880278
309932685,248534858
299055274,299056886
234855403,60686437
238196172,238190476
232072009,232458515
16716166,381120117
238196178,238264394
234698066,234346246
246096958,246097175
49969931,363067439
294317692,294370602
124707515,294309153
299055271,299055274
325904144,331558873
166073030,163832331
166073030,166073035
325904145,331526536
86740603,86932811
86740603,32117024
272473799,272473535
86740605,86761282
86740605,86740603
272316911,178209398
272316911,272437632
166073035,166073037
166073037,166073137
382885900,381159290
288290396,226728629
10488964,236147907
218148768,219436818
69439512,269905671
69439512,269034347
282983439,272152603
72705395,35202200
325904154,331551812
325904157,335954903
325904157,331572662
376267718,266699492
376267718,352431195
54780509,69346595
54780509,70054774
209047942,210570551
232072021,230470024
246096942,246096948
29197257,29197197
246096938,246096942
246096938,246400402
310235415,372822878
209047935,210504240
209047935,209817923
234855421,60686437
59650535,73330801
29511831,29511987
288290454,226728629
15094626,15872590
84341231,84722697
84341231,37498494
217604757,217605178
382885899,381159290
245777042,245777492
288290464,226728629
55731398,200541882
113822741,105584206
113822741,99677589
331537569,331554896
95277643,218660893
95277643,218312399
95277643,219396979
95277643,219436818
95277643,218297425
95277643,218275300
95277643,52171285
95277643,235586
95277643,218314014
95277643,218275939
95277643,3623625
95277643,218271544
95277603,95543393
155741638,156132547
155741638,144222669
392974545,346362956
