Id,Label,InDegree,OutDegree
98902309,unknown,0,2
158344134,unknown,0,1
314825125,unknown,1,1
179107942,unknown,1,0
100909838,unknown,1,0
98652748,2,1,2
200508570,unknown,1,1
376121307,2,1,1
201616213,unknown,0,1
100067294,unknown,1,0
98652750,2,1,2
98652751,2,2,2
84198591,unknown,1,1
200508578,unknown,1,1
53212251,unknown,1,1
225333650,unknown,0,1
114748169,unknown,1,1
346378296,unknown,1,2
98652730,2,1,1
98652731,2,1,1
299094838,unknown,1,2
378076700,unknown,0,1
98652740,2,3,1
53212247,unknown,1,1
53212249,unknown,1,1
98902325,unknown,0,2
121801226,unknown,1,0
174776296,unknown,1,1
299055262,unknown,1,2
332263754,unknown,1,1
13273732,unknown,0,1
299055266,unknown,1,1
13248778,unknown,1,1
156021904,unknown,1,1
225333647,unknown,0,1
224250961,2,2,2
224250957,unknown,1,2
156021912,unknown,1,1
22964864,unknown,1,0
70791691,2,0,2
98902335,unknown,1,2
72323901,unknown,1,3
13248781,unknown,1,0
299055260,unknown,1,1
200508559,unknown,1,1
226441334,unknown,1,1
299055255,unknown,1,1
226441338,unknown,1,1
299055256,unknown,1,1
191199447,unknown,1,0
98652752,2,1,1
181647011,2,1,0
30078393,unknown,10,7
98652753,2,1,1
98652755,2,1,1
98652756,2,1,1
226441332,unknown,1,1
224250954,unknown,1,1
224250945,2,0,2
120970225,unknown,1,1
191199449,2,0,2
98902348,unknown,1,1
84776953,unknown,1,1
200508548,unknown,0,2
200508539,unknown,0,1
272316972,unknown,1,2
272316975,unknown,1,2
196094354,unknown,0,1
219702953,unknown,1,0
91961884,unknown,1,1
190077180,2,0,1
96938641,unknown,1,0
91961886,unknown,1,1
96938644,2,0,2
310510008,unknown,1,1
92070191,unknown,1,2
294210817,unknown,0,1
91961880,unknown,1,1
91961881,2,1,1
92070197,unknown,1,2
91961883,unknown,1,1
160252749,unknown,1,1
363522597,2,1,1
188652091,unknown,0,1
7774444,unknown,1,1
279967139,unknown,1,1
124589798,unknown,1,0
279967131,unknown,1,1
29643766,unknown,0,1
91961896,2,0,5
226416370,unknown,0,1
279150035,2,1,2
92070183,unknown,0,2
91961891,unknown,1,1
158344182,unknown,0,1
98652728,2,0,1
98652723,2,1,1
25303613,2,0,2
98652725,2,2,1
245263852,unknown,3,1
166230366,unknown,1,1
390600662,unknown,1,1
98627776,unknown,1,2
390600666,unknown,1,1
74239722,unknown,1,0
29354589,unknown,1,0
148845907,2,1,1
148845909,2,1,1
94287105,2,2,0
310510010,2,1,1
279150050,2,1,1
120695667,unknown,1,1
84776990,unknown,2,1
156153749,unknown,1,1
98902305,unknown,1,2
84776997,unknown,1,1
156153740,unknown,1,2
